TRACK_ID	Group	Cluster	Genotype	Treatment
cellnames_KO_Hp_in_cluster9.cellnameSubset.bam	KO_Hp	9	KO	Hp
cellnames_WT_Naive_in_cluster10.cellnameSubset.bam	WT_Naive	10	WT	Naive
cellnames_WT_IL4C_in_cluster10.cellnameSubset.bam	WT_IL4C	10	WT	IL4C
cellnames_WT_Hp_in_cluster10.cellnameSubset.bam	WT_Hp	10	WT	Hp
cellnames_KO_Naive_in_cluster10.cellnameSubset.bam	KO_Naive	10	KO	Naive
cellnames_KO_IL4C_in_cluster10.cellnameSubset.bam	KO_IL4C	10	KO	IL4C
cellnames_KO_Hp_in_cluster10.cellnameSubset.bam	KO_Hp	10	KO	Hp
cellnames_WT_Naive_in_cluster11.cellnameSubset.bam	WT_Naive	11	WT	Naive
cellnames_WT_IL4C_in_cluster11.cellnameSubset.bam	WT_IL4C	11	WT	IL4C
cellnames_WT_Hp_in_cluster11.cellnameSubset.bam	WT_Hp	11	WT	Hp
cellnames_KO_Naive_in_cluster11.cellnameSubset.bam	KO_Naive	11	KO	Naive
cellnames_KO_IL4C_in_cluster11.cellnameSubset.bam	KO_IL4C	11	KO	IL4C
cellnames_KO_Hp_in_cluster11.cellnameSubset.bam	KO_Hp	11	KO	Hp
cellnames_WT_Naive_in_cluster12.cellnameSubset.bam	WT_Naive	12	WT	Naive
cellnames_WT_IL4C_in_cluster12.cellnameSubset.bam	WT_IL4C	12	WT	IL4C
cellnames_WT_Hp_in_cluster12.cellnameSubset.bam	WT_Hp	12	WT	Hp
cellnames_KO_Naive_in_cluster12.cellnameSubset.bam	KO_Naive	12	KO	Naive
cellnames_KO_IL4C_in_cluster12.cellnameSubset.bam	KO_IL4C	12	KO	IL4C
cellnames_KO_Hp_in_cluster12.cellnameSubset.bam	KO_Hp	12	KO	Hp
cellnames_WT_Naive_in_cluster13.cellnameSubset.bam	WT_Naive	13	WT	Naive
cellnames_WT_IL4C_in_cluster13.cellnameSubset.bam	WT_IL4C	13	WT	IL4C
cellnames_WT_Hp_in_cluster13.cellnameSubset.bam	WT_Hp	13	WT	Hp
cellnames_KO_Naive_in_cluster13.cellnameSubset.bam	KO_Naive	13	KO	Naive
cellnames_KO_IL4C_in_cluster13.cellnameSubset.bam	KO_IL4C	13	KO	IL4C
cellnames_KO_Hp_in_cluster13.cellnameSubset.bam	KO_Hp	13	KO	Hp
cellnames_WT_Naive_in_cluster14.cellnameSubset.bam	WT_Naive	14	WT	Naive
cellnames_WT_IL4C_in_cluster14.cellnameSubset.bam	WT_IL4C	14	WT	IL4C
cellnames_WT_Hp_in_cluster14.cellnameSubset.bam	WT_Hp	14	WT	Hp
cellnames_KO_Naive_in_cluster14.cellnameSubset.bam	KO_Naive	14	KO	Naive
cellnames_KO_IL4C_in_cluster14.cellnameSubset.bam	KO_IL4C	14	KO	IL4C
cellnames_KO_Hp_in_cluster14.cellnameSubset.bam	KO_Hp	14	KO	Hp
